Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
reprehensible,vocab/reprehensible.mp3,Adjective,"…and in some cases, morally **reprehensible**.",(應受譴責的/应受谴责的),S3 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
breakthrough,vocab/breakthrough.mp3,Noun,…some sort of **breakthrough** invention…,(突破/突破),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
akin,vocab/akin.mp3,Adjective,…they are nothing more than a way to deliver food… **akin** to the “invention” of home delivery…,(類似的/类似的),S3 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ethnic,vocab/ethnic.mp3,Adjective,…food trucks had brought affordable **ethnic** cuisine…,(民族的/民族的),S6 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ironically,vocab/ironically.mp3,Adverb,"**Ironically**, in many markets the food trucks do more harm than good…",(諷刺的是/讽刺的是),S7 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
cannibalizing,vocab/cannibalizing.mp3,Verb,…while **cannibalizing** hard-to-get public parking spots…,(侵佔/侵占),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
squatting,vocab/squatting.mp3,Verb,…and **squatting** on public property.,(非法佔用/非法占用),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
pedestrian-unfriendly,vocab/pedestrian-unfriendly.mp3,Adjective,…bringing quality dining selections to extremely **pedestrian-unfriendly** areas…,(不適合行人的/不适合行人的),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
redundant,vocab/redundant.mp3,Adjective,The real trend is the **redundant** food truck…,(多餘的/多余的),S9 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
absurd,vocab/absurd.mp3,Adjective,This strikes me as **absurd**.,(荒謬的/荒谬的),S10 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
fad,vocab/fad.mp3,Noun,More a **fad** than a trend…,(一時的風尚/一时的风尚),S11 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
tangible,vocab/tangible.mp3,Adjective,…I've yet to see any **tangible** benefits…,(實質的/实质的),S11 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
arrival,vocab/arrival.mp3,Noun,The **arrival** of food trucks to New York several years ago was greeted by a city hungry for refined street food…,(到来/到來),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
refined,vocab/refined.mp3,Adjective,…greeted by a city hungry for **refined** street food…,(精致的/精緻的),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
entrepreneur,vocab/entrepreneur.mp3,Noun,…willing to pay higher prices to reward hard-working culinary **entrepreneurs**.,(企業家/企业家),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
initially,vocab/initially.mp3,Adverb,"**Initially**, the food truck business model looked attractive.",(最初/最初),S2 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
attractive,vocab/attractive.mp3,Adjective,…the food truck business model looked **attractive**.,(有吸引力的/有吸引力的),S2 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
concept,vocab/concept.mp3,Noun,…allowed him and partner David Schillace to test out their **concept**…,(概念/概念),S2 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
explosive,vocab/explosive.mp3,Adjective,"As early adopters, the Mexicue crew saw **explosive** growth.",(爆炸性的/爆炸性的),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
skyscraper,vocab/skyscraper.mp3,Noun,…parked in midtown Manhattan surrounded by the **skyscrapers** that investment banks call their home…,(摩天大樓/摩天大楼),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
ferocious,vocab/ferocious.mp3,Adjective,Competition in New York City is **ferocious**…,(激烈的/激烈的),S4 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
regulator,vocab/regulator.mp3,Noun,…while **regulators** began to crack down on the industry.,(監管機構/监管机构),S4 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
exhausted,vocab/exhausted.mp3,Adjective,"**Exhausted** by the hustle, Schillace and Kelly made a U-turn…",(筋疲力盡的/筋疲力尽的),S5 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
brick-and-mortar,vocab/brick-and-mortar.mp3,Adjective,…in 2011 opened their first **brick-and-mortar** store.,(實體的/实体的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
volatile,vocab/volatile.mp3,Adjective,Next to the **volatile** food truck business…,(多變的/多变的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
inclement,vocab/inclement.mp3,Adjective,Without having to tough it out through **inclement** weather…,(惡劣的/恶劣的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
integral,vocab/integral.mp3,Adjective,"While the truck is no longer a cash cow, it remains **integral** to their brand and image.",(不可或缺的/不可或缺的),S6 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
agony,vocab/agony.mp3,Noun,…newspaper's longstanding **agony** uncle…,(煩惱/烦恼),S1 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
woe,vocab/woe.mp3,Noun,…Pandora's postbag of **woes**…,(苦惱/苦恼),S3 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
trauma,vocab/trauma.mp3,Noun,…work **traumas**…,(創傷/创伤),S3 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
vocation,vocab/vocation.mp3,Noun,…properly qualified for this **vocation**…,(職業/职业),S5 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
thrust,vocab/thrust.mp3,Verb,…my calling has been **thrust** upon me.,(強加/强加),S5 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
diagnosis,vocab/diagnosis.mp3,Noun,…my tough love **diagnosis**…,(診斷/诊断),S6 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
tongue-lashing,vocab/tongue-lashing.mp3,Noun,…received a **tongue-lashing**…,(嚴厲斥責/严厉斥责),S6 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
whingeing,vocab/whingeing.mp3,Noun,…self-obsessed **whingeing**…,(抱怨/抱怨),S8 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
bereavement,vocab/bereavement.mp3,Noun,…grief-stricken by **bereavement**…,(喪親/丧亲),S9 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
rummage,vocab/rummage.mp3,Verb,…difficult to **rummage** around…,(翻找/翻找),S11 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
banal,vocab/banal.mp3,Adjective,"…the obvious, **banal** advice…",(陳腐的/陈腐的),S11 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
skirt,vocab/skirt.mp3,Verb,…I sort of **skirt** around it…,(迴避/回避),S13 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
springboard,vocab/springboard.mp3,Noun,…a **springboard** to some sort of positive action.,(跳板/跳板),S13 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
reactionary,vocab/reactionary.mp3,Adjective,…stopped me being so **reactionary**…,(反動的/反动的),S14 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
self-righteous,vocab/self-righteous.mp3,Adjective,…**self-righteous**…,(自以為正直的/自以为正直的),S14 P1,C1/T-3,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
perceptive,vocab/perceptive.mp3,Adjective,…you are **perceptive** enough…,(有洞察力的/有洞察力的),S15 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
trepidation,vocab/trepidation.mp3,Noun,"…full of anticipation, but also **trepidation**.",(恐懼/恐惧),S22 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
fruitless,vocab/fruitless.mp3,Adjective,…an often **fruitless** search…,(徒勞的/徒劳的),S26 P1,B2/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
challenging,vocab/challenging.mp3,Adjective,…my **challenging** hair.,(難處理的/难处理的),S26 P1,B1/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
fringe,vocab/fringe.mp3,Noun,…A longer **fringe** may also help.,(瀏海/刘海),S29 P1,B1/T-2,GrahamNorton,DSEPastPaper GrahamNorton 2020 B2 T4 Vocabulary,Vocabulary
